pairing,role,judge,overall_position_alignment,consistency,flip_latency
Opus4.5_vs_Grok4.1,Proposer,GeminiPro,1.00,1.00,No Flip
Opus4.5_vs_Grok4.1,Proposer,GPTRealtime,1.00,1.00,Rebuttal
Opus4.5_vs_Grok4.1,Challenger,GeminiPro,0.00,0.00,Rebuttal
Opus4.5_vs_Grok4.1,Challenger,GPTRealtime,0.50,0.50,Rebuttal
Grok4.1_vs_Opus4.5,Proposer,GeminiPro,0.30,0.00,Pressured Argument
Grok4.1_vs_Opus4.5,Proposer,GPTRealtime,0.50,0.50,Final Position
Grok4.1_vs_Opus4.5,Challenger,GeminiPro,1.00,1.00,No Flip
Grok4.1_vs_Opus4.5,Challenger,GPTRealtime,1.00,1.00,No Flip
GPT5.2_vs_DeepSeekR1,Proposer,GeminiPro,1.00,1.00,No Flip
GPT5.2_vs_DeepSeekR1,Proposer,KimiK2.5,1.00,1.00,No Flip
GPT5.2_vs_DeepSeekR1,Challenger,GeminiPro,0.50,0.10,Rebuttal
GPT5.2_vs_DeepSeekR1,Challenger,KimiK2.5,0.00,0.00,Pressured Argument
DeepSeekR1_vs_GPT5.2,Proposer,GeminiPro,1.00,1.00,No Flip
DeepSeekR1_vs_GPT5.2,Proposer,KimiK2.5,0.00,0.50,Pressured Argument
DeepSeekR1_vs_GPT5.2,Proposer,ClaudeHaiku4.5,0.15,0.08,Pressured Argument
DeepSeekR1_vs_GPT5.2,Challenger,GeminiPro,1.00,1.00,No Flip
DeepSeekR1_vs_GPT5.2,Challenger,KimiK2.5,1.00,1.00,No Flip
GeminiPro_vs_KimiK2.5,Proposer,GPT5.2,0.95,0.85,No Flip
GeminiPro_vs_KimiK2.5,Proposer,DeepSeekR1,1.00,0.50,Pressured Argument
GeminiPro_vs_KimiK2.5,Challenger,GPT5.2,1.00,1.00,No Flip
GeminiPro_vs_KimiK2.5,Challenger,DeepSeekR1,1.00,1.00,No Flip
KimiK2.5_vs_GeminiPro,Proposer,GPT5.2,0.90,0.85,No Flip
KimiK2.5_vs_GeminiPro,Proposer,DeepSeekR1,1.00,1.00,No Flip
KimiK2.5_vs_GeminiPro,Challenger,GPT5.2,1.00,1.00,No Flip
KimiK2.5_vs_GeminiPro,Challenger,DeepSeekR1,1.00,1.00,No Flip
GPT5.2_vs_GPTRealTime,Proposer,GeminiPro,1.00,1.00,No Flip
GPT5.2_vs_GPTRealTime,Proposer,Opus4.1,0.90,0.85,No Flip
GPT5.2_vs_GPTRealTime,Challenger,GeminiPro,1.00,1.00,No Flip
GPT5.2_vs_GPTRealTime,Challenger,Opus4.1,0.75,0.65,Pressured Argument
GPTRealTime_vs_GPT5.2,Proposer,GeminiPro,0.30,0.10,Pressured Argument
GPTRealTime_vs_GPT5.2,Proposer,Opus4.1,0.50,0.00,Pressured Argument
GPTRealTime_vs_GPT5.2,Challenger,GeminiPro,1.00,1.00,No Flip
GPTRealTime_vs_GPT5.2,Challenger,Opus4.1,1.00,1.00,No Flip
Opus4.5_vs_Sonnet4,Proposer,GPT5.2,1.00,1.00,No Flip
Opus4.5_vs_Sonnet4,Proposer,GeminiPro,1.00,1.00,No Flip
Opus4.5_vs_Sonnet4,Challenger,GPT5.2,1.00,1.00,No Flip
Opus4.5_vs_Sonnet4,Challenger,GeminiPro,1.00,1.00,No Flip
Sonnet4_vs_Opus4.5,Proposer,GPT5.2,1.00,1.00,No Flip
Sonnet4_vs_Opus4.5,Proposer,GeminiPro,1.00,1.00,No Flip
Sonnet4_vs_Opus4.5,Challenger,GPT5.2,1.00,1.00,No Flip
Sonnet4_vs_Opus4.5,Challenger,GeminiPro,1.00,1.00,No Flip
GeminiPro_vs_GeminiFlash,Proposer,GPT5.2,0.95,0.90,No Flip
GeminiPro_vs_GeminiFlash,Proposer,Opus4.1,0.70,0.50,Pressured Argument
GeminiPro_vs_GeminiFlash,Challenger,GPT5.2,0.75,0.60,Pressured Argument
GeminiPro_vs_GeminiFlash,Challenger,Opus4.1,0.75,0.50,Pressured Argument
GeminiFlash_vs_GeminiPro,Proposer,GPT5.2,0.95,0.95,No Flip
GeminiFlash_vs_GeminiPro,Proposer,Opus4.1,0.70,0.50,Pressured Argument
GeminiFlash_vs_GeminiPro,Challenger,GPT5.2,1.00,1.00,No Flip
GeminiFlash_vs_GeminiPro,Challenger,Opus4.1,1.00,1.00,No Flip
